Date,TransactionID,ProductID,ProductName,Category,Quantity,Price,Type,Amount,PaymentMode
2025-12-16,TXN1039,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-16,TXN1040,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,UPI
2025-12-17,TXN1041,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2025-12-17,TXN1042,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Cash
2025-12-17,TXN1043,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-17,TXN1044,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,UPI
2025-12-17,TXN1045,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,Cash
2025-12-18,TXN1046,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-18,TXN1047,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Cash
2025-12-18,TXN1048,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-18,TXN1049,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2025-12-18,TXN1050,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,Card
2025-12-19,TXN1051,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,UPI
2025-12-19,TXN1052,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Card
2025-12-19,TXN1053,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-19,TXN1054,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,Cash
2025-12-19,TXN1055,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-19,TXN1056,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-19,TXN1057,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-20,TXN1058,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2025-12-20,TXN1059,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-20,TXN1060,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Cash
2025-12-20,TXN1061,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,Cash
2025-12-20,TXN1062,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-20,TXN1063,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,UPI
2025-12-20,TXN1064,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2025-12-20,TXN1065,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Cash
2025-12-20,TXN1066,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Card
2025-12-20,TXN1067,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,Card
2025-12-20,TXN1068,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Card
2025-12-21,TXN1069,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-21,TXN1070,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Cash
2025-12-21,TXN1071,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,Cash
2025-12-21,TXN1072,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-21,TXN1073,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,Cash
2025-12-21,TXN1074,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-21,TXN1075,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-21,TXN1076,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2025-12-21,TXN1077,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-21,TXN1078,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,Cash
2025-12-21,TXN1079,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,UPI
2025-12-21,TXN1080,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-21,TXN1081,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-21,TXN1082,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-21,TXN1083,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-21,TXN1084,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,Card
2025-12-21,TXN1085,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-21,TXN1086,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2025-12-21,TXN1087,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,UPI
2025-12-21,TXN1088,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-21,TXN1089,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-21,TXN1090,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-21,TXN1091,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-21,TXN1092,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-21,TXN_RESTOCK_1092,P106,Restock: Britannia Marie Gold Biscuits,Restock,19,12,Expense,228,Cash
2025-12-22,TXN1093,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-22,TXN1094,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,Card
2025-12-22,TXN1095,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Cash
2025-12-22,TXN1096,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,Cash
2025-12-22,TXN1097,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-22,TXN1098,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Cash
2025-12-22,TXN1099,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2025-12-22,TXN1100,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,Cash
2025-12-22,TXN1101,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,UPI
2025-12-22,TXN1102,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-22,TXN1103,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-22,TXN1104,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,Cash
2025-12-22,TXN1105,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,Cash
2025-12-22,TXN1106,P105,Toor Dal Premium 1kg,Pulses,5,180,Sale,900,UPI
2025-12-23,TXN1107,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2025-12-23,TXN1108,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Cash
2025-12-23,TXN1109,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2025-12-23,TXN1110,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,Cash
2025-12-23,TXN1111,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-23,TXN1112,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-23,TXN1113,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-23,TXN_RESTOCK_1113,P105,Restock: Toor Dal Premium 1kg,Restock,49,140,Expense,6860,Cash
2025-12-24,TXN1114,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,Cash
2025-12-24,TXN1115,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Card
2025-12-24,TXN1116,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,Cash
2025-12-24,TXN1117,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,Cash
2025-12-24,TXN1118,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2025-12-24,TXN1119,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Cash
2025-12-24,TXN1120,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,Card
2025-12-24,TXN1121,P108,Sunsilk Black Shampoo 180ml,Personal Care,3,145,Sale,435,UPI
2025-12-24,TXN1122,P107,Brooke Bond Red Label Tea 250g,Beverages,5,120,Sale,600,UPI
2025-12-24,TXN1123,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,Cash
2025-12-24,TXN1124,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-24,TXN1125,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Cash
2025-12-24,TXN1126,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Cash
2025-12-25,TXN1127,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-25,TXN1128,P105,Toor Dal Premium 1kg,Pulses,6,180,Sale,1080,Card
2025-12-25,TXN1129,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Card
2025-12-25,TXN1130,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Card
2025-12-25,TXN1131,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-25,TXN1132,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,Card
2025-12-25,TXN1133,P101,Premium Basmati Rice 5kg,Grains,3,450,Sale,1350,UPI
2025-12-25,TXN1134,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-25,TXN1135,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2025-12-25,TXN1136,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Card
2025-12-25,TXN1137,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-25,TXN1138,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,Card
2025-12-25,TXN1139,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-26,TXN1140,P108,Sunsilk Black Shampoo 180ml,Personal Care,3,145,Sale,435,UPI
2025-12-26,TXN1141,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Card
2025-12-26,TXN1142,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-26,TXN1143,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,UPI
2025-12-26,TXN1144,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,UPI
2025-12-26,TXN1145,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,3,280,Sale,840,Card
2025-12-26,TXN1146,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,Cash
2025-12-26,TXN1147,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,UPI
2025-12-26,TXN1148,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,Cash
2025-12-26,TXN1149,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-26,TXN1150,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,Cash
2025-12-26,TXN1151,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-26,TXN1152,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-26,TXN1153,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Cash
2025-12-27,TXN1154,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-27,TXN1155,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,Cash
2025-12-27,TXN1156,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2025-12-27,TXN1157,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Cash
2025-12-27,TXN1158,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2025-12-27,TXN1159,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-27,TXN1160,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-27,TXN1161,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-27,TXN1162,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2025-12-27,TXN1163,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,Card
2025-12-27,TXN1164,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-27,TXN1165,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,UPI
2025-12-27,TXN1166,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-27,TXN1167,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-27,TXN1168,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Cash
2025-12-28,TXN1169,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2025-12-28,TXN1170,P105,Toor Dal Premium 1kg,Pulses,5,180,Sale,900,Card
2025-12-28,TXN1171,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-28,TXN1172,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-28,TXN1173,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,UPI
2025-12-28,TXN1174,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-28,TXN1175,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2025-12-28,TXN1176,P101,Premium Basmati Rice 5kg,Grains,3,450,Sale,1350,UPI
2025-12-28,TXN1177,P101,Premium Basmati Rice 5kg,Grains,3,450,Sale,1350,Cash
2025-12-28,TXN1178,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2025-12-28,TXN1179,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-28,TXN1180,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,Cash
2025-12-28,TXN1181,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Card
2025-12-28,TXN1182,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-28,TXN1183,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2025-12-28,TXN1184,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,Cash
2025-12-28,TXN1185,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,Card
2025-12-28,TXN1186,P107,Brooke Bond Red Label Tea 250g,Beverages,3,120,Sale,360,Card
2025-12-28,TXN1187,P107,Brooke Bond Red Label Tea 250g,Beverages,3,120,Sale,360,UPI
2025-12-28,TXN1188,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,UPI
2025-12-28,TXN1189,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-28,TXN1190,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,Cash
2025-12-29,TXN1191,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2025-12-29,TXN1192,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2025-12-29,TXN1193,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-29,TXN1194,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,UPI
2025-12-29,TXN1195,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-30,TXN1196,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,Cash
2025-12-30,TXN1197,P102,Gold Winner Sunflower Oil 1L,Oils,1,140,Sale,140,Card
2025-12-30,TXN1198,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,1,280,Sale,280,Cash
2025-12-30,TXN1199,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,3,280,Sale,840,Cash
2025-12-30,TXN1200,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2025-12-30,TXN1201,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2025-12-30,TXN1202,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,UPI
2025-12-31,TXN1203,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2025-12-31,TXN1204,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2025-12-31,TXN1205,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,UPI
2025-12-31,TXN1206,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,Cash
2025-12-31,TXN1207,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2025-12-31,TXN1208,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,Cash
2025-12-31,TXN1209,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2026-01-01,TXN1210,P105,Toor Dal Premium 1kg,Pulses,3,180,Sale,540,Cash
2026-01-01,TXN1211,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,Cash
2026-01-01,TXN1212,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,UPI
2026-01-01,TXN1213,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2026-01-01,TXN1214,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2026-01-01,TXN1215,P103,Tata Salt 1kg,Condiments,5,28,Sale,140,UPI
2026-01-01,TXN1216,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2026-01-01,TXN1217,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2026-01-01,TXN1218,P108,Sunsilk Black Shampoo 180ml,Personal Care,3,145,Sale,435,UPI
2026-01-01,TXN1219,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,Cash
2026-01-01,TXN1220,P101,Premium Basmati Rice 5kg,Grains,2,450,Sale,900,UPI
2026-01-01,TXN1221,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,Card
2026-01-01,TXN1222,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2026-01-01,TXN1223,P106,Britannia Marie Gold Biscuits,Snacks,3,15,Sale,45,UPI
2026-01-01,TXN_RENT_012026,EXP_RENT,Shop Rent Payment,Operations,1,12000,Expense,12000,UPI
2026-01-02,TXN1224,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,Cash
2026-01-02,TXN1225,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,UPI
2026-01-02,TXN1226,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2026-01-02,TXN1227,P102,Gold Winner Sunflower Oil 1L,Oils,3,140,Sale,420,UPI
2026-01-02,TXN1228,P103,Tata Salt 1kg,Condiments,1,28,Sale,28,UPI
2026-01-02,TXN1229,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,Cash
2026-01-02,TXN1230,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,Cash
2026-01-02,TXN1231,P107,Brooke Bond Red Label Tea 250g,Beverages,5,120,Sale,600,UPI
2026-01-02,TXN1232,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
2026-01-03,TXN1233,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,Cash
2026-01-03,TXN1234,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2026-01-03,TXN1235,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Cash
2026-01-03,TXN1236,P107,Brooke Bond Red Label Tea 250g,Beverages,2,120,Sale,240,UPI
2026-01-03,TXN1237,P106,Britannia Marie Gold Biscuits,Snacks,2,15,Sale,30,UPI
2026-01-03,TXN1238,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2026-01-03,TXN1239,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2026-01-03,TXN1240,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,3,280,Sale,840,UPI
2026-01-03,TXN1241,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2026-01-03,TXN1242,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,UPI
2026-01-03,TXN1243,P103,Tata Salt 1kg,Condiments,2,28,Sale,56,UPI
2026-01-03,TXN1244,P108,Sunsilk Black Shampoo 180ml,Personal Care,5,145,Sale,725,Cash
2026-01-03,TXN1245,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2026-01-03,TXN1246,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,Cash
2026-01-03,TXN1247,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2026-01-03,TXN1248,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,Card
2026-01-03,TXN1249,P105,Toor Dal Premium 1kg,Pulses,1,180,Sale,180,UPI
2026-01-03,TXN1250,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2026-01-03,TXN1251,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,UPI
2026-01-03,TXN1252,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,5,280,Sale,1400,UPI
2026-01-03,TXN1253,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,Cash
2026-01-03,TXN1254,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2026-01-04,TXN1255,P107,Brooke Bond Red Label Tea 250g,Beverages,1,120,Sale,120,UPI
2026-01-04,TXN1256,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2026-01-04,TXN1257,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,Cash
2026-01-04,TXN1258,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,Cash
2026-01-04,TXN1259,P102,Gold Winner Sunflower Oil 1L,Oils,2,140,Sale,280,UPI
2026-01-04,TXN1260,P103,Tata Salt 1kg,Condiments,3,28,Sale,84,UPI
2026-01-04,TXN1261,P104,Aashirvaad Shudh Chakki Atta 5kg,Grains,2,280,Sale,560,UPI
2026-01-04,TXN1262,P101,Premium Basmati Rice 5kg,Grains,1,450,Sale,450,UPI
2026-01-04,TXN1263,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,UPI
2026-01-04,TXN1264,P105,Toor Dal Premium 1kg,Pulses,2,180,Sale,360,UPI
2026-01-04,TXN1265,P108,Sunsilk Black Shampoo 180ml,Personal Care,1,145,Sale,145,Cash
2026-01-04,TXN1266,P108,Sunsilk Black Shampoo 180ml,Personal Care,2,145,Sale,290,Cash
2026-01-04,TXN1267,P106,Britannia Marie Gold Biscuits,Snacks,1,15,Sale,15,UPI
